playerId	playerName	position	team	point
62743	J. Irvine	[{'y': 17, 'x': 88}, {'y': 13, 'x': 94}]	Australia	12
403613	D. Arzani	[{'y': 22, 'x': 69}, {'y': 27, 'x': 65}]	Australia	6
139075	R. Tapia	[{'y': 47, 'x': 37}, {'y': 39, 'x': 32}]	Peru	7
114723	Y. Yot\u00fan	[{'y': 39, 'x': 32}, {'y': 96, 'x': 39}]	Peru	6
114709	L. Adv\u00edncula	[{'y': 96, 'x': 39}, {'y': 39, 'x': 32}]	Peru	55
115353	A. Santamar\u00eda	[{'y': 39, 'x': 32}, {'y': 25, 'x': 43}]	Peru	14
115146	M. Trauco	[{'y': 7, 'x': 51}, {'y': 30, 'x': 37}]	Peru	41
114617	C. Ramos	[{'y': 77, 'x': 39}, {'y': 95, 'x': 61}]	Peru	28
70156	A. Carrillo	[{'y': 95, 'x': 61}, {'y': 85, 'x': 42}]	Peru	20
114762	\u00c9. Flores	[{'y': 4, 'x': 56}, {'y': 10, 'x': 66}]	Peru	19
14909	P. Guerrero	[{'y': 88, 'x': 45}, {'y': 84, 'x': 45}]	Peru	20
114813	C. Cueva	[{'y': 84, 'x': 45}, {'y': 87, 'x': 48}]	Peru	29
114798	P. Gallese	[{'y': 100, 'x': 100}, {'y': 90, 'x': 29}]	Peru	32
139078	P. Aquino	[{'y': 28, 'x': 67}, {'y': 44, 'x': 29}]	Peru	16
8247	T. Cahill	[{'y': 78, 'x': 96}, {'y': 83, 'x': 97}]	Australia	3
114624	P. Hurtado	[{'y': 65, 'x': 37}, {'y': 51, 'x': 32}]	Peru	0
139080	W. Cartagena	[{'y': 40, 'x': 44}, {'y': 85, 'x': 54}]	Peru	-3
8307	V. Kompany	[{'y': 42, 'x': 19}, {'y': 86, 'x': 20}]	Belgium	49
8464	F. Delph	[{'y': 19, 'x': 65}, {'y': 21, 'x': 64}]	England	7
8292	D. Rose	[{'y': 21, 'x': 64}, {'y': 20, 'x': 63}]	England	18
235555	R. Loftus-Cheek	[{'y': 67, 'x': 71}, {'y': 19, 'x': 76}]	England	25
11066	R. Sterling	[{'y': 19, 'x': 76}, {'y': 9, 'x': 63}]	England	33
210044	E. Dier	[{'y': 48, 'x': 41}, {'y': 83, 'x': 34}]	England	26
7918	P. Jones	[{'y': 83, 'x': 34}, {'y': 57, 'x': 28}]	England	14
9380	J. Stones	[{'y': 57, 'x': 28}, {'y': 62, 'x': 41}]	England	111
8653	H. Maguire	[{'y': 17, 'x': 38}, {'y': 26, 'x': 42}]	England	96
8945	K. Trippier	[{'y': 93, 'x': 61}, {'y': 79, 'x': 37}]	England	81
10131	J. Pickford	[{'y': 42, 'x': 10}, {'y': 7, 'x': 63}]	England	79
261	N. Chadli	[{'y': 24, 'x': 12}, {'y': 17, 'x': 26}]	Belgium	43
8717	H. Kane	[{'y': 9, 'x': 71}, {'y': 26, 'x': 72}]	England	75
7860	T. Vermaelen	[{'y': 1, 'x': 16}, {'y': 0, 'x': 25}]	Belgium	8
7934	J. Lingard	[{'y': 49, 'x': 49}, {'y': 50, 'x': 33}]	England	38
397178	M. Rashford	[{'y': 45, 'x': 70}, {'y': 64, 'x': 69}]	England	25
11152	M. Demb\u00e9l\u00e9	[{'y': 34, 'x': 8}, {'y': 12, 'x': 13}]	Belgium	17
13484	D. Alli	[{'y': 26, 'x': 62}, {'y': 32, 'x': 58}]	England	54
93	J. Gu\u00f0munds\u00adson	[{'y': 50, 'x': 49}, {'y': 34, 'x': 34}]	Iceland	23
38084	B. Bjarnason	[{'y': 34, 'x': 34}, {'y': 48, 'x': 73}]	Iceland	31
57347	S. Ingason	[{'y': 63, 'x': 68}, {'y': 47, 'x': 72}]	Iceland	28
14771	V. \u0106orluka	[{'y': 58, 'x': 22}, {'y': 39, 'x': 39}]	Croatia	40
77521	A. Gunnarsson	[{'y': 61, 'x': 61}, {'y': 63, 'x': 72}]	Iceland	28
55983	R. Sigur\u00f0sson	[{'y': 63, 'x': 72}, {'y': 59, 'x': 82}]	Iceland	38
230626	D. \u0106aleta-Car	[{'y': 41, 'x': 18}, {'y': 13, 'x': 46}]	Croatia	8
54451	B. S\u00e6varsson	[{'y': 87, 'x': 54}, {'y': 30, 'x': 78}]	Iceland	32
212604	T. Jedvaj	[{'y': 70, 'x': 22}, {'y': 71, 'x': 34}]	Croatia	0
135810	M. Pjaca	[{'y': 71, 'x': 34}, {'y': 63, 'x': 35}]	Croatia	5
77558	G. Sigur\u00f0sson	[{'y': 29, 'x': 66}, {'y': 37, 'x': 65}]	Iceland	44
21314	E. Hallfre\u00f0sson	[{'y': 37, 'x': 65}, {'y': 66, 'x': 53}]	Iceland	25
69353	L. Kalini\u0107	[{'y': 71, 'x': 8}, {'y': 93, 'x': 44}]	Croatia	19
135207	H. Magn\u00fasson	[{'y': 7, 'x': 56}, {'y': 9, 'x': 57}]	Iceland	45
37948	A. Finnbogason	[{'y': 29, 'x': 60}, {'y': 52, 'x': 53}]	Iceland	16
57226	H. Halld\u00f3rsson	[{'y': 78, 'x': 9}, {'y': 48, 'x': 20}]	Iceland	38
231713	F. Bradari\u0107	[{'y': 55, 'x': 69}, {'y': 62, 'x': 59}]	Croatia	2
54495	B. Sigur\u00f0arson	[{'y': 59, 'x': 74}, {'y': 75, 'x': 65}]	Iceland	2
216568	A. Gudmundsson	[{'y': 39, 'x': 59}, {'y': 53, 'x': 61}]	Iceland	1
57480	A. Traustason	[{'y': 4, 'x': 71}, {'y': 45, 'x': 70}]	Iceland	0
20938	V. Behrami	[{'y': 88, 'x': 43}, {'y': 99, 'x': 55}]	Switzerland	18
20465	S. Lichtsteiner	[{'y': 99, 'x': 55}, {'y': 90, 'x': 42}]	Switzerland	28
50102	F. Sch\u00e4r	[{'y': 68, 'x': 35}, {'y': 53, 'x': 38}]	Switzerland	34
297957	M. Akanji	[{'y': 53, 'x': 38}, {'y': 90, 'x': 64}]	Switzerland	56
49872	X. Shaqiri	[{'y': 90, 'x': 64}, {'y': 92, 'x': 90}]	Switzerland	52
20766	H. Seferovi\u0107	[{'y': 92, 'x': 90}, {'y': 95, 'x': 93}]	Switzerland	12
49997	S. Zuber	[{'y': 18, 'x': 60}, {'y': 20, 'x': 38}]	Switzerland	21
14922	R. Rodr\u00edguez	[{'y': 18, 'x': 36}, {'y': 17, 'x': 40}]	Switzerland	38
49876	G. Xhaka	[{'y': 12, 'x': 38}, {'y': 44, 'x': 34}]	Switzerland	25
70083	Danilo	[{'y': 91, 'x': 31}, {'y': 94, 'x': 25}]	Brazil	8
21169	B. D\u017eemaili	[{'y': 30, 'x': 88}, {'y': 43, 'x': 100}]	Switzerland	5
49855	Y. Sommer	[{'y': 37, 'x': 12}, {'y': 19, 'x': 24}]	Switzerland	53
360992	D. Zakaria	[{'y': 41, 'x': 22}, {'y': 36, 'x': 15}]	Switzerland	-1
15808	Roberto Firmino	[{'y': 7, 'x': 91}, {'y': 14, 'x': 87}]	Brazil	26
282772	B. Embolo	[{'y': 68, 'x': 14}, {'y': 70, 'x': 11}]	Switzerland	7
49977	M. Lang	[{'y': 65, 'x': 12}, {'y': 65, 'x': 11}]	Switzerland	4
395636	Maxi G\u00f3mez	[{'y': 8, 'x': 74}, {'y': 11, 'x': 83}]	Uruguay	3
